Country,Life Expectancy,Adult Mortality,Infant Deaths,Alcohol,Percentage Expenditure,Hepatitis B,Measles,BMI,Polio,Total Expenditure,Diphtheria,HIV/AIDS,GDP,Thinness 1-19 Years,Thinness 5-9 Years,Income Composition of Resources,Schooling,Under Five Deaths,Freedom on Happiness,GDP per Capita on Happiness,Generosity on Happiness,Government Corruption on Happiness,Happiness Rank,Happiness Score,Life Expectancy on Happiness,Social Support on Happiness,Region,Population,Area,gini,Real Growth Rating(%),Literacy Rate(%),Inflation(%),Unemployement(%),Developed,Developing,Happiness Status,Total Immunized Disease(%)
Afghanistan,58.19375,269.0625,55,0.014375,34.96011007,64.5625,759.875,15.51875,58.6875,8.2525,60.1875,0.1,340.0154255,13.05,12.63125,0.415375,8.2125,66,0.162878321,0.190891594,0.319458444,0.105259129,149.4,0.161505106,0.223231688,0.249241281,7,27657145,652230,27.8,3.1,28.1,6.8,35,0,1,3,61.14583333
Albania,75.15625,45.0625,0.6875,4.84875,193.2590907,98,53.375,49.06875,98.125,5.945625,98.0625,0.1,2119.726679,1.61875,1.7,0.709875,12.1375,0.9375,0.513670894,0.5017371,0.200324024,0.078275159,106.4,0.397872333,0.690355784,0.459203801,1,2886026,28748,34.5,0.7,98.7,1.7,16.9,0,1,1,98.0625
Algeria,73.61875,108.1875,20.3125,0.381875,236.1852407,78.75,351.9375,48.74375,91.75,4.60375,91.875,0.1,2847.853392,6.09375,5.975,0.694875,12.7125,23.5,0.246460168,0.541469678,0.082593224,0.264715664,66.2,0.586012611,0.58287198,0.653409667,4,40400000,2381741,35.3,3.1,79,3.9,10.3,0,1,0,87.45833333
Angola,49.0375,328.5625,55,5.3825,102.1002684,71.4375,661,18.01875,61.4375,3.961875,62.125,1.7,1975.143045,6.19375,6.66875,0.458375,8.0625,66,0.037890193,0.42676619,0.125608212,0.129677092,140,0.232318747,0.117355098,0.570783449,8,25868000,1246700,58.6,5.6,70.4,8.9,30,0,1,3,65
Argentina,75.15625,106,10.125,7.469375,683.1591514,79.375,2,54.98125,93.375,6.768125,92.375,0.1,6482.012774,1.075,0.95,0.794125,16.50625,11.375,0.665220775,0.593893239,0.11021853,0.116518957,31.2,0.742001571,0.666867149,0.809586514,3,43590400,2780400,44.5,3.5,97.9,20.8,7.5,0,1,0,88.375
Armenia,73.4,117.375,1,3.471875,131.0074188,87.5625,124.125,44.70625,91.8125,4.845,90.125,0.1,1999.986318,2.0375,2.1125,0.698375,11.7875,1,0.298382118,0.448550748,0.098312923,0.070241315,122.8,0.334948765,0.611613396,0.541893397,1,2994400,29743,30.9,3.6,99.4,2.2,,0,1,1,
Australia,81.8125,63.1875,1,9.52125,825.6872254,93.4375,103.9375,55.8625,89.4375,8.571875,89.625,0.1,8612.407433,0.66875,0.625,0.918125,19,1.375,0.835695409,0.7456225,0.496468419,0.569971093,10,0.902915677,0.801515652,0.857059848,0,24117360,7692024,30.5,2.5,99,2.4,5.7,1,0,2,90.83333333
Austria,81.48125,65.75,0,11.471875,849.8431239,81.0625,77.25,48.2875,86,4.708125,86.75,0.1,9382.853552,1.73125,1.9375,0.862375,15.3875,0,0.796863588,0.74747012,0.348895276,0.388215602,12,0.876477541,0.774478251,0.829661188,9,8725931,83871,26,0.4,98,2.1,4.9,1,0,2,84.60416667
Azerbaijan,70.73125,115.1875,6.0625,0.930625,131.1487469,52.4375,280.9375,43.84375,81.3125,5.611875,82.3125,0.1,3302.947807,2.9,2.94375,0.7026875,11.35,7.1875,0.525614872,0.573906375,0.058624656,0.318449569,84.6,0.49964539,0.543079014,0.627585189,1,9730500,86600,33.7,5.8,99.8,2.4,6,0,1,1,72.02083333
Bahrain,75.725,65.375,0,1.814375,469.504103,98.125,6.6875,51.65625,98,3.856875,98.0625,0.1,7179.178144,6.10625,5.95,0.8079375,14.1125,0,0.716966,0.743269167,0.242402719,0.381860147,42.4,0.67391646,0.635627175,0.75636502,4,1404900,765,36.7,3.6,99.7,2.2,,0,1,0,
Bangladesh,69.3,141.375,55,0.01,32.32097151,64,713.3125,12.875,90.1875,2.96375,92.75,0.1,443.561481,10.81875,11.09375,0.517875,8.69375,66,0.660590237,0.280097395,0.213535824,0.239980381,113.8,0.371788793,0.52002998,0.38828245,7,161006790,147570,32.1,5.8,57.7,7.6,5,0,1,1,82.3125
Belarus,69.90625,218.75,0.5625,11.899375,322.7000906,88.9375,24.8125,54.74375,92.5625,6.0925,95.1875,0.1,3811.525348,2.2125,2.3375,0.74325,14.75,0.875,0.416489023,0.579986858,0.143189427,0.296346804,68.2,0.572301009,0.612416173,0.813961705,1,9498700,207600,26.5,2.1,99.6,19,1,0,1,0,92.22916667
Belgium,80.68125,70.1875,0.25,10.353125,727.4685803,74.5,81.5625,50.89375,97.75,5.876875,97.3125,0.1,6724.682198,0.8625,0.85625,0.87775,16.7875,1,0.744146608,0.735205997,0.249238585,0.430948209,17.6,0.833018114,0.773768952,0.825725389,9,11319511,30528,33,0.1,99,1.3,8.8,1,0,2,89.85416667
Belize,69.26875,155.5,0,5.8625,365.8434898,94.75,0,37.675,95.5,5.011875,95.1875,0.43125,3933.012174,3.55625,3.4875,0.6939375,12.45625,0,0.760966562,0.461688911,0.262448872,0.177137016,50.33333333,0.642828984,0.403120586,0.581704744,3,370300,22966,53.1,2.5,76.9,1.3,15.5,0,1,0,95.14583333
